idade,sexo,tempo_como_cliente,frequencia_uso,ligacoes_callcenter,dias_atraso,assinatura,duracao_contrato,total_gasto,meses_ultima_interacao,cancelou
32,Masculino,3,5,1,6,Padrão,Anual,282,20,Sim
32,Masculino,13,6,4,11,Básico,Anual,649,8,Sim
36,Feminino,5,6,0,6,Prêmio,Trimestral,787,9,Não
22,Masculino,39,3,4,16,Padrão,Anual,443,4,Sim
32,Feminino,35,9,1,15,Prêmio,Trimestral,951,4,Não
42,Feminino,58,1,3,10,Padrão,Trimestral,733,2,Não
20,Masculino,7,7,2,16,Básico,Trimestral,867,24,Não
21,Masculino,20,1,1,7,Prêmio,Trimestral,326,8,Sim
20,Masculino,40,1,4,16,Prêmio,Trimestral,490,18,Sim
29,Masculino,8,8,3,14,Prêmio,Anual,748,21,Sim
28,Masculino,2,6,1,20,Prêmio,Anual,520,16,Não
44,Masculino,42,4,3,3,Básico,Anual,861,24,Não
43,Masculino,18,6,2,2,Padrão,Anual,195,10,Sim
23,Masculino,34,3,4,8,Básico,Trimestral,392,25,Sim
40,Feminino,42,5,1,19,Prêmio,Anual,696,15,Não
40,Masculino,13,1,2,16,Padrão,Trimestral,659,1,Sim
48,Masculino,38,9,4,6,Básico,Anual,757,8,Não
38,Masculino,32,8,3,18,Básico,Anual,413,28,Sim
21,Masculino,55,7,1,18,Padrão,Trimestral,629,25,Não
40,Masculino,57,1,3,20,Prêmio,Trimestral,372,21,Sim
23,Masculino,9,7,2,0,Básico,Anual,279,17,Sim
49,Masculino,26,10,2,20,Prêmio,Anual,891,22,Não
20,Masculino,58,9,3,1,Prêmio,Anual,639,17,Sim
48,Masculino,19,9,1,2,Básico,Anual,683,2,Sim
22,Masculino,1,2,3,12,Prêmio,Anual,946,14,Sim
43,Masculino,20,2,0,11,Padrão,Anual,603,14,Sim
21,Masculino,52,9,3,19,Prêmio,Trimestral,945,23,Sim
22,Masculino,34,2,3,3,Prêmio,Anual,924,21,Sim
24,Masculino,37,10,2,6,Prêmio,Trimestral,392,28,Sim
40,Feminino,47,4,1,5,Prêmio,Anual,603,7,Não
18,Masculino,12,10,0,7,Padrão,Trimestral,482,17,Sim
41,Masculino,20,1,4,4,Básico,Trimestral,495,2,Sim
22,Masculino,18,3,1,16,Prêmio,Anual,560,22,Sim
42,Masculino,6,2,0,5,Padrão,Anual,952,14,Não
21,Masculino,20,5,0,2,Prêmio,Trimestral,510,26,Sim
20,Masculino,29,8,2,8,Básico,Anual,701,21,Não
19,Masculino,44,4,2,15,Padrão,Trimestral,729,30,Sim
18,Masculino,54,8,2,8,Padrão,Anual,288,28,Sim
41,Masculino,2,2,0,3,Básico,Anual,616,15,Sim
39,Masculino,32,5,4,17,Padrão,Trimestral,161,12,Sim
28,Masculino,21,2,4,9,Prêmio,Trimestral,207,18,Sim
27,Feminino,48,5,0,5,Prêmio,Anual,798,11,Não
32,Masculino,55,10,3,9,Padrão,Anual,561,10,Não
21,Masculino,52,8,2,15,Básico,Trimestral,997,2,Não
45,Masculino,38,4,3,5,Básico,Trimestral,762,28,Não
44,Masculino,28,3,4,16,Padrão,Trimestral,932,11,Não
37,Masculino,30,4,2,13,Prêmio,Anual,534,10,Não
37,Masculino,35,9,2,13,Prêmio,Trimestral,553,18,Não
20,Masculino,28,2,4,12,Básico,Anual,126,16,Sim
44,Feminino,25,6,3,11,Prêmio,Trimestral,573,6,Não
30,Feminino,60,4,1,13,Prêmio,Anual,747,9,Não
39,Masculino,43,3,0,2,Padrão,Trimestral,177,25,Sim
28,Masculino,52,5,0,7,Padrão,Anual,371,24,Sim
25,Masculino,48,4,1,6,Básico,Trimestral,439,21,Sim
30,Masculino,60,4,1,14,Prêmio,Trimestral,323,9,Sim
28,Masculino,40,3,4,8,Básico,Anual,407,10,Sim
22,Masculino,39,7,0,5,Básico,Anual,149,30,Sim
48,Feminino,29,10,2,7,Prêmio,Trimestral,995,8,Não
21,Masculino,42,8,3,14,Básico,Trimestral,179,29,Sim
32,Feminino,42,8,1,16,Padrão,Trimestral,740,11,Não
43,Masculino,1,3,1,10,Básico,Anual,696,5,Sim
32,Feminino,55,10,1,14,Padrão,Trimestral,706,2,Não
39,Masculino,27,2,0,8,Prêmio,Anual,547,27,Não
31,Feminino,36,8,3,5,Padrão,Anual,925,9,Não
33,Masculino,13,6,1,5,Padrão,Anual,371,11,Sim
23,Masculino,52,5,2,17,Padrão,Trimestral,524,15,Não
23,Masculino,54,5,2,15,Prêmio,Anual,985,16,Não
47,Masculino,5,2,4,1,Básico,Trimestral,608,27,Sim
36,Feminino,36,9,3,11,Prêmio,Anual,749,12,Não
30,Masculino,13,7,3,0,Prêmio,Trimestral,535,11,Sim
24,Masculino,60,1,3,19,Padrão,Anual,249,1,Sim
48,Masculino,32,3,0,17,Padrão,Trimestral,712,21,Não
47,Masculino,14,4,4,13,Prêmio,Anual,508,1,Sim
41,Feminino,32,2,3,17,Padrão,Trimestral,750,12,Não
38,Masculino,55,1,4,12,Prêmio,Anual,797,10,Sim
46,Feminino,35,5,1,12,Padrão,Trimestral,963,2,Não
29,Masculino,25,7,3,7,Prêmio,Anual,673,16,Sim
34,Feminino,28,9,1,8,Padrão,Trimestral,517,12,Não
41,Masculino,52,6,0,5,Básico,Anual,993,8,Não
29,Masculino,18,8,3,0,Prêmio,Trimestral,861,15,Sim
35,Masculino,18,3,0,3,Básico,Anual,834,2,Sim
23,Masculino,31,3,3,11,Básico,Trimestral,664,15,Sim
37,Masculino,26,10,4,7,Prêmio,Trimestral,705,26,Sim
28,Masculino,4,7,1,19,Prêmio,Anual,601,12,Não
34,Masculino,14,10,4,20,Padrão,Trimestral,355,5,Sim
20,Masculino,39,5,4,14,Prêmio,Anual,151,9,Sim
43,Masculino,2,1,4,7,Prêmio,Anual,928,16,Não
33,Masculino,8,10,2,9,Prêmio,Anual,683,3,Não
18,Feminino,46,1,1,20,Básico,Trimestral,775,1,Não
22,Masculino,13,1,4,20,Prêmio,Trimestral,632,19,Sim
33,Masculino,52,5,0,1,Padrão,Anual,529,28,Não
19,Masculino,9,9,3,5,Prêmio,Anual,971,12,Sim
32,Masculino,33,4,1,3,Padrão,Trimestral,875,23,Não
31,Feminino,57,8,3,12,Prêmio,Anual,623,11,Não
40,Feminino,45,8,0,10,Prêmio,Anual,765,9,Não
33,Masculino,39,7,1,16,Prêmio,Anual,348,18,Sim
20,Masculino,9,6,4,13,Prêmio,Anual,857,3,Sim
23,Masculino,35,5,3,11,Padrão,Anual,750,8,Sim
20,Masculino,9,8,2,18,Prêmio,Trimestral,341,26,Sim
31,Masculino,23,4,1,20,Básico,Anual,944,30,Sim
49,Masculino,15,2,4,2,Básico,Anual,550,10,Sim
29,Masculino,2,6,3,5,Básico,Trimestral,902,23,Sim
32,Feminino,22,10,2,16,Padrão,Anual,587,3,Não
31,Masculino,47,4,3,3,Padrão,Anual,508,1,Não
42,Masculino,54,2,3,0,Básico,Anual,352,4,Sim
29,Masculino,57,3,3,15,Padrão,Anual,901,12,Sim
34,Masculino,10,8,4,1,Prêmio,Anual,582,27,Sim
37,Masculino,33,2,4,9,Padrão,Anual,479,22,Sim
37,Masculino,52,8,0,17,Prêmio,Anual,750,7,Não
29,Masculino,58,6,3,16,Padrão,Trimestral,967,28,Sim
27,Masculino,24,8,4,8,Padrão,Trimestral,724,24,Sim
18,Masculino,16,2,0,11,Prêmio,Anual,358,8,Sim
32,Feminino,37,4,0,9,Padrão,Anual,712,2,Não
39,Masculino,12,8,4,20,Prêmio,Trimestral,498,11,Sim
33,Masculino,2,5,3,3,Básico,Anual,558,21,Sim
26,Masculino,26,2,4,17,Prêmio,Trimestral,811,3,Sim
44,Masculino,16,8,3,16,Básico,Trimestral,237,18,Sim
38,Masculino,56,1,0,4,Básico,Anual,394,17,Sim
25,Masculino,24,9,1,18,Padrão,Anual,461,3,Sim
30,Feminino,42,4,2,13,Básico,Trimestral,799,2,Não
45,Masculino,32,9,1,13,Padrão,Anual,445,16,Sim
35,Masculino,44,7,0,8,Básico,Trimestral,909,10,Não
49,Masculino,52,10,3,17,Básico,Anual,273,9,Sim
35,Masculino,19,7,3,2,Padrão,Trimestral,721,7,Sim
28,Masculino,35,9,0,20,Prêmio,Trimestral,625,25,Não
39,Masculino,22,10,4,6,Básico,Anual,994,2,Sim
24,Masculino,1,4,1,9,Padrão,Trimestral,511,16,Não
19,Masculino,6,10,1,0,Padrão,Trimestral,364,14,Sim
33,Masculino,44,7,0,19,Básico,Anual,931,23,Não
25,Masculino,35,8,3,13,Básico,Anual,958,29,Sim
38,Masculino,25,8,1,3,Básico,Anual,776,18,Não
49,Masculino,23,9,1,3,Prêmio,Trimestral,951,26,Sim
47,Masculino,11,5,2,0,Prêmio,Trimestral,720,13,Não
25,Masculino,53,8,4,8,Prêmio,Anual,747,21,Sim
20,Masculino,47,6,2,12,Prêmio,Trimestral,393,29,Sim
29,Feminino,57,2,0,3,Básico,Anual,673,12,Não
34,Masculino,1,5,1,7,Prêmio,Trimestral,650,11,Não
48,Masculino,7,9,4,18,Padrão,Trimestral,171,18,Sim
25,Masculino,53,5,3,3,Padrão,Trimestral,942,30,Sim
34,Masculino,36,3,4,3,Padrão,Anual,579,23,Sim
48,Masculino,60,6,1,1,Básico,Trimestral,951,25,Não
19,Masculino,5,6,2,11,Básico,Trimestral,963,12,Sim
48,Feminino,59,7,1,15,Padrão,Anual,535,4,Não
31,Masculino,45,1,1,10,Padrão,Trimestral,613,5,Não
24,Masculino,11,7,2,3,Padrão,Anual,803,8,Não
25,Masculino,48,5,0,17,Básico,Trimestral,188,15,Sim
19,Masculino,29,10,0,6,Prêmio,Anual,430,8,Sim
43,Masculino,6,3,4,15,Prêmio,Trimestral,373,6,Sim
32,Masculino,57,1,1,11,Básico,Anual,822,19,Não
26,Masculino,24,5,0,20,Padrão,Anual,346,23,Sim
27,Masculino,9,1,0,13,Padrão,Anual,558,29,Não
43,Masculino,36,4,3,20,Básico,Anual,850,25,Não
46,Masculino,25,2,2,5,Prêmio,Trimestral,748,15,Não
21,Masculino,21,1,2,3,Prêmio,Trimestral,804,29,Sim
18,Masculino,59,5,1,14,Prêmio,Trimestral,728,23,Não
31,Masculino,45,3,1,16,Padrão,Trimestral,879,9,Não
22,Masculino,40,9,2,7,Básico,Anual,882,28,Não
30,Masculino,52,10,2,4,Padrão,Anual,322,4,Sim
45,Masculino,48,2,0,10,Prêmio,Anual,762,19,Não
38,Feminino,7,3,0,2,Prêmio,Anual,734,12,Não
24,Masculino,32,2,1,6,Prêmio,Anual,409,28,Sim
19,Masculino,12,4,4,4,Padrão,Trimestral,545,28,Sim
34,Masculino,50,1,3,3,Básico,Anual,405,8,Sim
33,Feminino,40,8,3,19,Padrão,Anual,728,8,Não
30,Masculino,26,2,1,3,Básico,Trimestral,458,29,Sim
43,Masculino,21,4,0,13,Padrão,Anual,348,21,Sim
34,Masculino,1,8,2,17,Básico,Trimestral,560,12,Sim
40,Masculino,33,1,3,13,Prêmio,Trimestral,161,16,Sim
46,Masculino,37,2,4,8,Básico,Anual,998,26,Não
36,Feminino,43,8,1,18,Prêmio,Anual,570,3,Não
46,Masculino,19,2,2,5,Básico,Anual,712,7,Sim
45,Feminino,42,2,2,14,Prêmio,Trimestral,818,2,Não
27,Masculino,7,8,2,17,Padrão,Anual,386,4,Sim
48,Masculino,47,6,0,0,Básico,Trimestral,723,19,Não
21,Feminino,33,2,1,6,Prêmio,Trimestral,506,2,Não
30,Masculino,41,1,4,9,Básico,Anual,972,10,Sim
48,Masculino,35,1,4,1,Padrão,Anual,469,10,Sim
33,Masculino,35,10,2,9,Básico,Anual,888,8,Não
19,Masculino,1,4,1,13,Prêmio,Anual,531,20,Não
23,Masculino,27,2,0,3,Básico,Anual,632,7,Não
38,Masculino,43,8,4,7,Prêmio,Anual,728,10,Sim
46,Masculino,41,7,2,17,Prêmio,Trimestral,286,5,Sim
32,Masculino,48,7,4,7,Básico,Anual,940,13,Sim
29,Masculino,45,9,1,10,Padrão,Trimestral,770,27,Não
42,Masculino,1,7,2,14,Prêmio,Anual,451,14,Sim
18,Masculino,44,4,4,7,Padrão,Anual,815,13,Sim
34,Masculino,3,4,3,14,Prêmio,Trimestral,768,1,Não
37,Masculino,60,7,1,2,Prêmio,Trimestral,549,26,Não
35,Masculino,10,4,0,0,Prêmio,Anual,784,6,Não
32,Feminino,48,5,2,3,Prêmio,Anual,612,5,Não
22,Masculino,17,9,3,18,Padrão,Trimestral,977,22,Sim
22,Masculino,24,1,3,13,Prêmio,Anual,903,5,Sim
49,Masculino,21,2,1,10,Prêmio,Trimestral,769,22,Sim
37,Masculino,40,9,2,18,Básico,Trimestral,275,28,Sim
32,Masculino,56,5,2,13,Prêmio,Anual,733,17,Não
28,Masculino,15,10,1,8,Prêmio,Anual,661,11,Não
37,Feminino,50,4,2,4,Padrão,Anual,778,13,Não
33,Masculino,31,9,2,2,Padrão,Trimestral,747,13,Não
45,Masculino,54,9,2,14,Prêmio,Anual,620,15,Não
21,Masculino,12,5,1,11,Prêmio,Trimestral,616,11,Sim
27,Masculino,35,6,4,8,Padrão,Trimestral,916,25,Sim
43,Masculino,27,6,3,8,Prêmio,Anual,840,6,Não
46,Masculino,53,6,3,12,Prêmio,Anual,405,25,Sim
33,Masculino,60,8,1,4,Padrão,Trimestral,921,25,Não
43,Masculino,10,8,3,4,Básico,Anual,789,23,Não
30,Masculino,5,5,3,8,Padrão,Anual,237,22,Sim
19,Masculino,23,4,0,17,Básico,Trimestral,682,9,Sim
26,Feminino,4,3,0,3,Padrão,Trimestral,586,3,Não
50,Masculino,24,10,0,1,Padrão,Trimestral,143,5,Sim
30,Feminino,44,2,0,12,Básico,Trimestral,753,1,Não
37,Masculino,48,8,1,17,Prêmio,Trimestral,942,7,Não
20,Feminino,25,2,2,17,Padrão,Anual,823,5,Não
20,Masculino,33,7,3,8,Prêmio,Trimestral,250,5,Sim
50,Feminino,56,1,4,9,Prêmio,Anual,703,12,Não
23,Masculino,19,1,3,1,Padrão,Anual,520,30,Sim
41,Masculino,52,9,0,3,Básico,Trimestral,258,24,Sim
45,Masculino,18,5,0,3,Básico,Trimestral,985,11,Sim
21,Masculino,3,7,3,17,Padrão,Trimestral,800,21,Sim
39,Masculino,49,2,2,2,Básico,Trimestral,217,4,Sim
45,Masculino,5,10,1,18,Básico,Trimestral,821,24,Sim
33,Masculino,28,9,4,1,Padrão,Anual,450,9,Sim
23,Masculino,3,9,4,19,Prêmio,Anual,380,13,Sim
29,Masculino,45,4,4,0,Básico,Trimestral,433,14,Sim
45,Masculino,39,5,1,20,Básico,Anual,171,19,Sim
36,Masculino,27,10,2,10,Básico,Trimestral,722,5,Não
25,Feminino,47,7,1,0,Prêmio,Anual,502,15,Não
19,Feminino,1,8,0,15,Padrão,Trimestral,972,8,Não
18,Masculino,58,2,0,1,Prêmio,Anual,643,15,Não
26,Masculino,12,7,0,13,Básico,Anual,221,13,Sim
47,Masculino,17,8,1,3,Prêmio,Trimestral,607,23,Sim
19,Masculino,5,2,0,3,Padrão,Anual,438,30,Sim
31,Masculino,11,1,2,14,Prêmio,Anual,741,23,Não
31,Masculino,8,5,4,7,Prêmio,Anual,525,19,Sim
48,Masculino,35,2,0,13,Padrão,Anual,813,18,Não
30,Feminino,12,10,2,12,Básico,Trimestral,587,2,Não
26,Masculino,27,4,2,3,Prêmio,Trimestral,202,30,Sim
40,Feminino,49,7,0,6,Básico,Trimestral,590,9,Não
24,Masculino,13,10,3,2,Padrão,Anual,977,12,Sim
27,Masculino,60,3,0,18,Básico,Anual,743,3,Não
24,Masculino,28,7,2,15,Padrão,Anual,415,30,Sim
38,Masculino,6,2,1,20,Padrão,Anual,564,5,Não
24,Masculino,13,10,2,10,Padrão,Trimestral,473,22,Sim
29,Masculino,42,9,2,13,Básico,Trimestral,998,26,Não
39,Masculino,59,1,3,6,Padrão,Trimestral,144,3,Sim
19,Masculino,46,3,4,2,Padrão,Anual,997,24,Sim
23,Masculino,28,4,4,7,Prêmio,Trimestral,331,2,Sim
50,Masculino,23,5,0,0,Prêmio,Anual,999,12,Sim
46,Masculino,21,5,3,4,Padrão,Trimestral,841,17,Sim
22,Masculino,2,7,3,9,Prêmio,Anual,185,3,Sim
24,Feminino,52,7,2,15,Padrão,Anual,691,9,Não
47,Masculino,17,5,2,8,Básico,Anual,528,15,Sim
31,Masculino,59,8,1,0,Prêmio,Anual,789,7,Não
28,Masculino,43,4,2,19,Prêmio,Trimestral,915,4,Não
21,Masculino,33,3,4,18,Prêmio,Trimestral,739,10,Sim
34,Masculino,3,10,0,2,Prêmio,Anual,543,27,Não
46,Masculino,41,7,1,16,Prêmio,Anual,502,6,Não
33,Feminino,38,7,2,10,Básico,Trimestral,542,3,Não
22,Masculino,14,6,1,15,Básico,Anual,777,8,Sim
29,Feminino,15,10,2,13,Padrão,Anual,799,15,Não
33,Masculino,11,10,4,17,Prêmio,Anual,801,8,Sim
33,Masculino,20,5,3,16,Básico,Anual,954,28,Sim
47,Masculino,30,2,1,5,Padrão,Trimestral,645,16,Não
46,Masculino,2,5,1,1,Padrão,Trimestral,381,14,Sim
25,Masculino,28,9,3,3,Padrão,Anual,865,5,Sim
38,Masculino,35,10,1,7,Básico,Anual,401,2,Sim
32,Masculino,31,4,0,18,Básico,Trimestral,110,27,Sim
31,Masculino,16,2,0,17,Básico,Trimestral,562,3,Sim
23,Masculino,18,4,0,2,Básico,Anual,310,16,Sim
27,Masculino,14,8,2,13,Padrão,Trimestral,209,28,Sim
50,Masculino,24,8,0,20,Padrão,Trimestral,443,13,Sim
47,Masculino,9,10,4,10,Prêmio,Trimestral,308,1,Sim
19,Masculino,17,10,1,1,Padrão,Trimestral,888,21,Não
32,Masculino,60,6,2,11,Básico,Trimestral,352,8,Sim
38,Masculino,57,6,1,13,Básico,Anual,187,3,Sim
40,Masculino,54,1,4,6,Básico,Anual,519,4,Não
41,Feminino,46,3,3,14,Básico,Anual,722,13,Não
